feature,importance,importance_type,model
foreign_login,7.674510134296492,absolute_coefficient,Logistic Regression
new_device,7.540882728838729,absolute_coefficient,Logistic Regression
suspicious_ip,4.84511468947864,absolute_coefficient,Logistic Regression
unusual_hour,2.832072105791579,absolute_coefficient,Logistic Regression
mfa_failed_attempts,1.7642685843070933,absolute_coefficient,Logistic Regression
failed_attempts,1.691890668636823,absolute_coefficient,Logistic Regression
login_success,1.285750709899573,absolute_coefficient,Logistic Regression
mfa_used,1.2437550970698448,absolute_coefficient,Logistic Regression
country_Brazil,0.7046336016938822,absolute_coefficient,Logistic Regression
mfa_type_Unknown,0.6847120846289294,absolute_coefficient,Logistic Regression
country_Canada,0.5720279878148679,absolute_coefficient,Logistic Regression
browser_Edge,0.5702923995634309,absolute_coefficient,Logistic Regression
mfa_type_Email Code,0.5141448766636899,absolute_coefficient,Logistic Regression
country_United States,0.4506458716663227,absolute_coefficient,Logistic Regression
device_type_Tablet,0.4391899082413477,absolute_coefficient,Logistic Regression
mfa_type_Authenticator App,0.37751902769191953,absolute_coefficient,Logistic Regression
mfa_type_SMS,0.3520911927142448,absolute_coefficient,Logistic Regression
device_type_Desktop,0.3173109233649475,absolute_coefficient,Logistic Regression
device_type_Mobile,0.23187364152256348,absolute_coefficient,Logistic Regression
impossible_travel,0.22277726615509894,absolute_coefficient,Logistic Regression
device_type_Laptop,0.20529038604195418,absolute_coefficient,Logistic Regression
browser_Firefox,0.16463091495430032,absolute_coefficient,Logistic Regression
country_United Kingdom,0.15414199759276423,absolute_coefficient,Logistic Regression
browser_Safari,0.14690766902768915,absolute_coefficient,Logistic Regression
country_India,0.06455096576088164,absolute_coefficient,Logistic Regression
login_hour,0.032414394188110277,absolute_coefficient,Logistic Regression
country_Germany,0.02230979129996074,absolute_coefficient,Logistic Regression
browser_Chrome,0.00647385880409937,absolute_coefficient,Logistic Regression
