login_id,user_id,timestamp,login_hour,day_of_week,country,city,usual_country,usual_city,device_type,browser,ip_address,failed_attempts,mfa_used,mfa_type,mfa_failed_attempts,new_device,foreign_login,unusual_hour,impossible_travel,suspicious_ip,login_success,attack_type,is_suspicious,no_mfa,multiple_failed_attempts,high_failed_attempts,risky_new_device_no_mfa,risky_foreign_no_mfa,risky_unusual_hour,mfa_fatigue_risk
L000001,U0180,2026-07-23 09:41:00,9,Thursday,Brazil,São Paulo,Brazil,São Paulo,Laptop,Chrome,222.104.134.193,0,True,Email Code,0,False,False,False,False,False,False,Normal,0,False,False,False,False,False,False,False
L000002,U0149,2026-07-29 20:50:00,20,Wednesday,United States,New York,United States,New York,Desktop,Chrome,210.200.41.8,1,True,SMS,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000003,U0085,2026-07-01 11:40:00,11,Wednesday,United States,Edison,United States,Edison,Laptop,Chrome,92.211.56.190,1,True,Email Code,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000004,U0003,2026-07-09 09:34:00,9,Thursday,United States,Edison,United States,Edison,Laptop,Edge,120.138.141.225,0,True,Email Code,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000005,U0091,2026-07-27 02:57:00,2,Monday,United States,Chicago,United States,Chicago,Laptop,Chrome,166.207.17.149,1,False,Unknown,0,False,False,True,False,False,True,Normal,0,True,False,False,False,False,True,False
L000006,U0084,2026-07-14 19:08:00,19,Tuesday,Brazil,Rio de Janeiro,Brazil,Rio de Janeiro,Laptop,Edge,217.86.253.217,8,False,Unknown,0,False,False,False,False,False,True,Brute Force,1,True,True,True,False,False,False,False
L000007,U0042,2026-07-27 20:09:00,20,Monday,United Kingdom,Manchester,United Kingdom,Manchester,Laptop,Chrome,125.32.158.148,0,True,SMS,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000008,U0001,2026-07-26 16:05:00,16,Sunday,United States,Edison,United States,Edison,Laptop,Chrome,165.93.242.27,0,True,SMS,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000009,U0133,2026-07-28 11:55:00,11,Tuesday,United States,San Francisco,United States,San Francisco,Desktop,Safari,52.204.47.20,1,False,Unknown,0,False,False,False,False,False,True,Normal,0,True,False,False,False,False,False,False
L000010,U0090,2026-07-09 11:14:00,11,Thursday,United States,New York,United States,New York,Laptop,Chrome,31.25.215.90,0,True,SMS,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000011,U0243,2026-07-14 07:07:00,7,Tuesday,United States,San Francisco,United States,San Francisco,Tablet,Safari,75.208.200.159,0,True,Email Code,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000012,U0066,2026-07-26 09:44:00,9,Sunday,United States,Edison,United States,Edison,Laptop,Chrome,212.150.166.75,4,False,Unknown,0,False,False,False,False,False,True,No MFA Login,1,True,True,False,False,False,False,False
L000013,U0065,2026-07-04 06:45:00,6,Saturday,Brazil,São Paulo,Brazil,São Paulo,Laptop,Safari,170.59.101.82,0,True,SMS,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000014,U0113,2026-07-13 21:59:00,21,Monday,United States,New York,United States,New York,Laptop,Safari,143.149.232.242,0,False,Unknown,0,False,False,False,False,False,False,Normal,0,True,False,False,False,False,False,False
