login_id,user_id,timestamp,login_hour,day_of_week,country,city,usual_country,usual_city,device_type,browser,ip_address,failed_attempts,mfa_used,mfa_type,mfa_failed_attempts,new_device,foreign_login,unusual_hour,impossible_travel,suspicious_ip,login_success,attack_type,is_suspicious
L000001,U0164,2026-07-01 08:26:00,8,Wednesday,Canada,Toronto,Canada,Toronto,Laptop,Chrome,138.166.250.171,1,True,SMS,0,False,False,False,False,False,True,Normal,0
L000002,U0055,2026-07-08 12:35:00,12,Wednesday,Germany,Berlin,Germany,Berlin,Mobile,Edge,116.23.251.156,0,True,Email Code,0,False,False,False,False,False,True,Normal,0
L000003,U0006,2026-07-26 12:56:00,12,Sunday,Brazil,Rio de Janeiro,Brazil,Rio de Janeiro,Laptop,Chrome,49.3.221.129,0,False,None,0,False,False,False,False,False,True,Normal,0
L000004,U0046,2026-07-05 14:53:00,14,Sunday,Brazil,São Paulo,Brazil,São Paulo,Desktop,Firefox,131.104.250.27,0,True,SMS,0,False,False,False,False,False,True,Normal,0
L000005,U0188,2026-07-04 21:52:00,21,Saturday,United States,San Francisco,United States,San Francisco,Laptop,Chrome,181.151.75.131,2,True,Email Code,0,False,False,False,False,False,True,Normal,0
L000006,U0050,2026-07-03 16:40:00,16,Friday,United States,Chicago,United States,Chicago,Laptop,Edge,203.45.97.94,1,False,None,0,False,False,False,False,False,True,Normal,0
L000007,U0161,2026-07-20 10:02:00,10,Monday,United Kingdom,London,United Kingdom,London,Laptop,Chrome,38.220.42.60,0,False,None,0,False,False,False,False,False,True,Normal,0
L000008,U0027,2026-07-30 10:35:00,10,Thursday,United States,Edison,United States,Edison,Laptop,Edge,210.192.194.151,0,True,Authenticator App,0,False,False,False,False,False,True,Normal,0
L000009,U0204,2026-07-14 10:22:00,10,Tuesday,Brazil,Rio de Janeiro,Brazil,Rio de Janeiro,Desktop,Safari,73.108.204.195,0,False,None,0,False,False,False,False,False,True,Normal,0
L000010,U0024,2026-07-31 16:24:00,16,Friday,United States,Boston,United States,Boston,Laptop,Chrome,198.63.151.213,0,True,Authenticator App,0,False,False,False,False,False,True,Normal,0
L000011,U0107,2026-07-23 21:16:00,21,Thursday,United States,Edison,United States,Edison,Desktop,Chrome,199.58.144.101,9,False,None,0,True,False,False,False,False,False,Brute Force,1
L000012,U0090,2026-07-19 11:19:00,11,Sunday,United States,Boston,United States,Boston,Tablet,Safari,36.152.113.73,0,True,Email Code,0,False,False,False,False,False,True,Normal,0
L000013,U0044,2026-07-23 12:03:00,12,Thursday,India,Delhi,India,Delhi,Laptop,Chrome,112.233.228.144,4,False,None,0,False,False,False,False,True,True,Credential Stuffing,1
