login_id,user_id,timestamp,login_hour,day_of_week,country,city,device_type,browser,ip_address,failed_attempts,mfa_used,mfa_type,new_device,foreign_login,unusual_hour,impossible_travel,suspicious_ip,login_success,attack_type,is_suspicious
L000001,U061,2026-07-30 01:54:00,1,Thursday,Germany,Munich,Tablet,Safari,120.106.17.183,5,True,Authenticator App,False,False,True,False,False,True,Brute Force,1
L000002,U017,2026-07-04 01:34:00,1,Saturday,Canada,Toronto,Laptop,Safari,113.127.243.177,6,False,None,False,False,True,False,False,True,Brute Force,1
L000003,U085,2026-07-04 18:42:00,18,Saturday,United Kingdom,London,Tablet,Safari,116.217.123.148,0,False,None,False,False,False,False,False,True,Normal,0
L000004,U086,2026-07-29 07:32:00,7,Wednesday,Germany,Munich,Mobile,Firefox,73.104.131.52,5,False,None,False,False,False,False,False,True,Brute Force,1
L000005,U095,2026-07-18 02:33:00,2,Saturday,United States,Edison,Desktop,Chrome,127.76.251.228,0,True,None,False,False,True,False,False,True,Normal,0
L000006,U021,2026-07-01 03:52:00,3,Wednesday,India,Delhi,Desktop,Chrome,130.56.107.157,0,False,None,True,False,True,False,False,True,New Device Login,1
L000007,U097,2026-07-14 18:03:00,18,Tuesday,United Kingdom,Manchester,Mobile,Edge,36.121.146.253,2,False,None,False,False,False,False,False,True,Normal,0
L000008,U079,2026-07-25 12:40:00,12,Saturday,Germany,Munich,Laptop,Firefox,98.75.224.87,0,False,None,True,False,False,False,False,True,New Device Login,1
L000009,U060,2026-07-27 09:32:00,9,Monday,India,Delhi,Tablet,Edge,114.149.220.17,1,False,None,False,False,False,False,False,True,Normal,0
L000010,U097,2026-07-06 20:32:00,20,Monday,Brazil,Rio de Janeiro,Mobile,Edge,107.107.229.49,0,True,Authenticator App,True,False,False,False,False,True,Normal,0
L000011,U078,2026-07-07 11:41:00,11,Tuesday,Canada,Toronto,Desktop,Edge,115.160.167.13,0,True,Email Code,True,False,False,False,False,False,Normal,0
L000012,U073,2026-07-08 18:04:00,18,Wednesday,Germany,Berlin,Mobile,Edge,175.236.35.186,0,False,None,True,False,False,False,True,True,Suspicious IP Login,1
L000013,U044,2026-07-21 12:14:00,12,Tuesday,United Kingdom,Manchester,Desktop,Safari,132.232.188.74,0,True,Email Code,False,True,False,False,False,True,Normal,0
L000014,U064,2026-07-18 23:03:00,23,Saturday,Brazil,São Paulo,Mobile,Safari,192.6.64.76,0,False,None,False,False,False,False,False,True,Normal,0
L000015,U019,2026-07-07 23:44:00,23,Tuesday,United Kingdom,Manchester,Mobile,Chrome,120.215.180.121,2,True,None,False,False,False,False,False,False,Normal,0
L000016,U080,2026-07-20 05:38:00,5,Monday,Brazil,São Paulo,Tablet,Firefox,121.90.98.125,1,True,SMS,False,False,False,False,False,True,Normal,0
